educ,south,nonwh,hispanic,gender,married,marrfem,exper,expersq,union,lnwage,age,manuf,constr,manag,sales,clerical,service,prof,cps85
12,0,0,0,0,1,0,32,1024,1,2.1691,49,0,1,0,0,0,0,0,0
11,0,0,0,0,1,0,12,144,1,2.0149,28,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,2,4,0,1.9772,23,0,0,0,1,0,0,0,0
12,0,0,0,0,1,0,32,1024,1,1.9033,49,1,0,0,0,1,0,0,0
12,0,0,0,0,1,0,32,1024,0,1.8326,49,0,0,0,0,0,0,0,0
18,0,1,0,0,1,0,13,169,1,2.2571,36,0,0,1,0,0,0,0,0
8,0,0,0,0,1,0,34,1156,1,1.8563,47,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,16,256,0,-0.078,30,0,0,0,0,0,1,0,0
16,0,0,0,0,1,0,8,64,0,1.674,29,1,0,0,0,0,0,1,0
10,0,1,0,0,0,0,33,1089,0,1.6094,48,0,1,0,0,0,0,0,0
12,0,0,0,0,1,0,24,576,1,2.0794,41,1,0,0,0,0,0,0,0
9,0,1,0,0,1,0,34,1156,1,1.8326,48,1,0,0,0,0,0,0,0
18,0,0,0,0,1,0,30,900,0,2.9208,53,1,0,1,0,0,0,0,0
12,0,0,0,0,0,0,4,16,1,1.1394,21,0,0,0,0,0,1,0,0
16,0,1,0,1,1,1,5,25,0,1.8326,26,0,0,0,0,0,0,1,0
12,0,0,0,1,1,1,5,25,0,1.5841,22,0,0,0,0,1,0,0,0
10,0,0,0,0,1,0,44,1936,1,2.082,59,1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,8,64,0,1.7047,24,1,0,0,0,0,0,0,0
12,0,0,0,1,1,1,26,676,0,1.8245,43,0,0,0,0,1,0,0,0
14,0,0,0,0,1,0,37,1369,0,1.9924,56,1,0,0,1,0,0,0,0
12,0,1,0,1,0,0,20,400,0,1.0296,37,0,0,0,0,0,1,0,0
16,0,1,0,0,1,0,16,256,1,2.2558,37,0,0,0,0,0,0,1,0
12,0,0,0,0,1,0,14,196,0,2.3026,31,0,0,1,0,0,0,0,0
10,0,0,0,1,0,0,15,225,1,1.6376,30,0,0,0,0,1,0,0,0
12,0,0,0,0,0,0,3,9,1,1.5841,20,0,0,0,0,0,0,0,0
16,0,0,0,0,1,0,11,121,0,2.1768,32,0,0,0,1,0,0,0,0
8,0,0,0,0,1,0,40,1600,1,1.8326,53,1,0,0,0,0,0,0,0
12,0,0,0,1,0,0,21,441,0,2.4079,38,0,0,1,0,0,0,0,0
13,0,0,0,0,1,0,3,9,0,1.9636,21,0,0,0,0,0,0,0,0
12,0,0,0,1,0,0,17,289,0,1.9741,34,1,0,0,0,1,0,0,0
12,0,0,0,0,0,0,6,36,0,1.4351,23,0,0,1,0,0,0,0,0
11,1,1,0,0,1,0,28,784,1,2.0794,44,1,0,0,0,0,0,1,0
12,1,0,0,1,1,1,6,36,0,1.204,23,1,0,0,0,0,0,1,0
14,1,0,0,1,0,0,4,16,0,1.2528,23,0,0,0,0,0,1,0,0
12,1,0,0,0,1,0,41,1681,0,2.1691,58,0,1,1,0,0,0,0,0
12,1,0,0,0,0,0,16,256,1,2.0149,33,1,0,0,0,0,0,0,0
12,1,0,0,1,1,1,6,36,0,0.452,23,0,0,0,0,0,1,0,0
12,1,0,0,0,1,0,39,1521,1,2.0794,56,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,15,225,0,1.6928,30,0,1,0,0,0,0,0,0
12,1,0,0,1,1,1,18,324,0,1.4325,35,0,0,0,0,1,0,0,0
15,1,0,0,0,1,0,7,49,0,1.4929,27,0,0,1,0,0,0,0,0
16,1,0,0,0,1,0,36,1296,0,1.1394,57,0,0,0,1,0,0,0,0
14,1,0,1,1,1,1,6,36,0,1.7237,25,0,0,0,0,0,0,1,0
12,1,1,0,1,0,0,13,169,0,1.5261,30,0,0,1,0,0,0,0,0
13,1,0,0,0,0,0,2,4,0,1.0986,20,0,0,0,0,1,0,0,0
5,1,0,1,0,1,0,50,2500,0,1.1575,60,0,0,0,0,0,1,0,0
12,1,0,1,1,1,1,21,441,0,1.5581,38,1,0,0,0,1,0,0,0
12,1,0,1,0,1,0,28,784,0,1.2936,45,0,0,0,1,0,0,0,0
12,1,0,0,0,1,0,12,144,1,1.4759,29,0,0,0,0,0,1,0,0
15,1,1,0,1,1,1,29,841,0,1.2809,49,0,0,0,0,1,0,0,0
12,1,0,0,0,1,0,7,49,0,1.3863,24,0,1,0,0,0,0,0,0
12,1,0,0,0,1,0,22,484,0,2.1203,39,1,0,1,0,0,0,0,0
12,1,1,0,1,0,0,11,121,0,1.3481,28,0,0,0,0,0,1,0,0
12,0,0,0,1,0,0,40,1600,0,1.5217,57,1,0,0,0,0,0,0,0
12,0,0,0,0,1,0,31,961,0,1.5315,48,0,1,0,0,0,0,0,0
12,0,0,0,1,1,1,10,100,0,1.4214,27,0,0,0,0,0,1,0,0
16,0,0,0,0,1,0,9,81,0,1.981,30,0,0,1,0,0,0,0,0
12,0,1,0,1,1,1,10,100,1,1.4469,27,0,0,0,0,0,1,0,0
15,0,0,0,0,1,0,42,1764,0,3.1322,62,0,0,1,0,0,0,0,0
12,0,0,0,1,1,1,45,2025,0,0.8873,62,0,0,0,0,0,0,0,0
17,0,0,0,0,1,0,8,64,1,2.3514,30,0,0,0,0,1,0,0,0
15,0,0,0,0,1,0,32,1024,0,2.1691,52,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1,1,0,1.2528,20,0,0,0,0,0,0,0,0
12,0,0,0,1,1,1,17,289,0,1.4271,34,0,0,0,0,1,0,0,0
14,0,0,0,0,1,0,10,100,0,1.7405,29,0,0,0,0,0,0,1,0
12,0,0,0,0,1,0,18,324,1,2.2266,35,0,0,0,0,0,0,0,0
12,0,0,0,1,0,0,10,100,1,0.9676,27,0,0,0,0,1,0,0,0
12,0,0,0,0,1,0,29,841,1,1.8326,46,1,0,0,0,0,0,0,0
12,0,0,0,1,0,0,39,1521,0,1.6094,56,1,0,0,0,1,0,0,0
12,0,0,0,1,1,1,31,961,0,1.1787,48,0,0,0,0,1,0,0,0
10,0,0,0,0,1,0,18,324,1,2.2513,33,1,0,0,0,0,0,0,0
12,0,1,0,1,1,1,14,196,1,2.0149,31,0,0,0,0,1,0,0,0
12,0,0,0,1,1,1,8,64,0,1.0116,25,0,0,0,0,0,1,0,0
12,1,0,0,0,0,0,9,81,0,1.6094,26,0,0,0,0,0,0,0,0
16,1,0,0,1,0,0,3,9,0,1.0296,24,0,0,0,0,1,0,0,0
9,1,1,0,1,1,1,24,576,0,0.9746,38,1,0,0,0,0,0,0,0
7,1,0,0,1,1,1,21,441,0,0.8109,33,1,0,0,0,0,0,0,0
12,1,0,0,0,1,0,15,225,0,1.2879,32,0,0,0,0,0,1,0,0
18,1,0,0,0,0,0,2,4,0,1.8005,25,0,0,0,0,0,0,1,0
16,1,1,0,1,0,0,12,144,0,1.0986,33,1,0,0,0,0,0,0,0
12,1,1,0,1,1,1,7,49,0,1.1939,24,1,0,0,0,0,0,0,0
9,1,1,0,1,0,0,33,1089,0,1.3218,47,1,0,0,0,0,0,0,0
15,1,0,0,0,0,0,5,25,0,1.6487,25,0,0,1,0,0,0,0,0
18,1,0,0,1,0,0,3,9,0,1.3218,26,0,0,0,0,1,0,0,0
11,1,0,0,1,1,1,8,64,0,0.899,24,0,0,0,1,0,0,0,0
13,1,0,0,1,1,1,5,25,0,1.3797,23,0,0,0,0,1,0,0,0
12,1,0,0,1,1,1,1,1,0,1.2264,18,1,0,0,0,0,0,0,0
12,0,0,0,1,1,1,21,441,0,0.922,38,0,0,0,0,0,1,0,0
12,0,0,0,0,0,0,1,1,0,0.9773,18,1,0,0,0,0,0,0,0
11,0,0,0,1,1,1,37,1369,0,1.0159,53,0,0,0,0,0,1,0,0
12,0,0,0,0,1,0,17,289,1,1.6094,34,0,1,0,0,0,0,0,0
12,0,0,0,1,0,0,43,1849,0,1.6582,60,1,0,0,0,1,0,0,0
12,0,0,0,0,0,0,4,16,0,1.7272,21,1,0,1,0,0,0,0,0
12,0,0,0,0,0,0,6,36,0,1.0986,23,0,1,0,0,0,0,0,0
8,0,0,0,0,1,0,49,2401,1,1.9459,62,1,0,0,0,0,0,0,0
16,0,0,0,0,1,0,13,169,0,2.2783,34,1,0,0,0,0,0,1,0
18,0,0,0,0,1,0,11,121,1,1.5333,34,0,0,0,0,0,0,1,0
8,0,0,0,1,1,1,18,324,0,1.0473,31,0,0,0,0,0,0,0,0
7,1,1,0,0,1,0,14,196,0,1.5179,26,1,0,0,0,0,0,0,0
15,1,0,0,1,1,1,20,400,0,1.6297,40,0,0,0,0,1,0,0,0
14,1,0,0,1,0,0,38,1444,0,1.8718,57,0,0,0,0,0,0,1,0
10,1,0,0,0,1,0,46,2116,1,1.6094,61,1,0,0,0,0,0,0,0
18,1,0,0,0,1,0,20,400,0,2.6872,43,0,0,0,0,0,0,1,0
16,1,0,0,1,0,0,7,49,0,1.8908,28,0,0,0,0,0,0,1,0
12,1,0,0,1,1,1,10,100,0,1.1787,27,0,0,0,0,1,0,0,0
18,1,0,0,0,1,0,12,144,0,2.708,35,0,0,0,0,0,0,1,0
12,1,0,0,1,0,0,13,169,0,2.1914,30,0,0,1,0,0,0,0,0
16,1,0,0,0,1,0,20,400,0,2.1203,41,0,0,0,0,0,0,1,0
12,1,0,0,0,0,0,6,36,0,1.5041,23,0,0,0,0,1,0,0,0
9,1,0,0,1,0,0,6,36,0,1.1787,20,0,0,0,0,1,0,0,0
8,1,0,0,0,1,0,40,1600,0,1.1632,53,1,0,0,0,0,0,0,0
12,1,0,0,1,0,0,1,1,0,0.9445,18,0,0,0,0,0,1,0,0
10,1,1,0,0,0,0,14,196,1,1.6094,29,0,0,0,0,1,0,0,0
12,1,0,0,0,0,0,5,25,0,1.0647,22,0,1,0,0,0,0,0,0
8,1,0,0,0,1,0,17,289,0,1.0647,30,1,0,0,0,0,0,0,0
12,1,0,0,0,1,0,14,196,0,2.0015,31,1,0,0,0,1,0,0,0
12,1,0,0,1,1,1,12,144,0,1.1394,29,0,0,0,0,1,0,0,0
13,1,0,0,0,1,0,30,900,1,1.9913,48,0,0,0,0,1,0,0,0
14,1,0,0,0,1,0,38,1444,1,2.0149,57,0,0,0,0,1,0,0,0
12,1,1,0,0,1,0,23,529,0,1.0647,40,1,0,0,0,0,0,0,0
9,1,0,0,0,0,0,5,25,0,0.9746,19,0,0,0,0,0,0,0,0
12,1,0,0,0,1,0,36,1296,1,2.1576,53,1,0,0,0,0,0,0,0
11,1,1,0,1,0,0,34,1156,0,1.1787,50,0,0,0,0,0,0,0,0
13,1,0,0,0,1,0,5,25,1,1.9936,23,1,0,0,0,0,0,0,0
6,0,1,0,0,1,0,48,2304,0,1.5738,59,1,0,0,0,0,0,0,0
6,0,0,0,0,1,0,38,1444,0,2.2225,49,1,0,0,0,0,0,0,0
15,0,1,0,1,0,0,8,64,0,1.6549,28,0,0,1,0,0,0,0,0
12,0,0,0,1,0,0,39,1521,1,1.7272,56,0,0,0,0,0,1,0,0
16,0,0,0,1,0,0,16,256,1,2.0314,37,0,0,0,0,0,0,1,0
14,0,0,0,1,1,1,25,625,0,0.452,44,0,0,0,0,1,0,0,0
13,1,0,0,0,1,0,4,16,0,1.3218,22,0,0,0,0,1,0,0,0
12,1,0,0,0,0,0,6,36,0,1.6094,23,1,0,0,0,1,0,0,0
